,district,lat,lon,Abb
0,Ahmadnagar,19.28,74.1,ANG
1,Akola,20.5,76.8,AK
2,Amravati,20.94,77.27,AMI
3,Aurangabad,19.8762,74.7,AWB
4,Bhandara,21.175,79.4,BRD
5,Bid,18.8,75.7601,BID
6,Buldana,20.283333,76,BUL
7,Chandrapur,19.9705,79,CD
8,Dhule,20.898,74.35,DHU
9,Garhchiroli,19.4,79.9,GAD
10,Gondiya,21,80,G
11,Hingoli,19.536427,76.9,HNL
12,Jalgaon,20.8,75.3,JAL
13,Jalna,19.5,75.75,JALNA
14,Kolhapur,16.4577537,73.88,KOP
15,Latur,18.3,76.562087,LUR
16,Nagpur,21,78.75,NGP
17,Nanded,18.916667,77.2,NED
18,Nandurbar,21.6,74,NDB
19,Nashik,20.216667,73.9,NK
20,Osmanabad,18.1853567,75.4,UMD
21,Parbhani,19.2,76.4,PBN
22,Pune,18.5203062,73.8543185,PUNE
23,Sangli,16.95,74.35,SLI
24,Satara,17.54154745,73.95,STR
25,Solapur,17.6,75.15,SUR
26,Wardha,20.58,78.33,WR
27,Washim,20.05,76.9,WHM
28,Yavatmal,20,77.75,YTL
